timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OT
310,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13718e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000936392,-1.5,nan,0,0,3,0,0,0,0,0,0
320,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13719e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000908599,-1.5,nan,0,0,3,0,0,0,0,0,0
330,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13719e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.00087986,-1.5,nan,0,0,3,0,0,0,0,0,0
340,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.1372e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000853744,-1.5,nan,0,0,3,0,0,0,0,0,0
350,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13721e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000828404,-1.5,nan,0,0,3,0,0,0,0,0,0
360,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13721e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000803815,-1.5,nan,0,0,3,0,0,0,0,0,0
370,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13722e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000778375,-1.5,nan,0,0,3,0,0,0,0,0,0
380,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13722e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000756812,-1.5,nan,0,0,3,0,0,0,0,0,0
390,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13723e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000735839,-1.5,nan,0,0,3,0,0,0,0,0,0
400,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13723e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000713998,-1.5,nan,0,0,3,0,0,0,0,0,0
