timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OTfiltered_vx,filtered_vy
510,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06604e-13,0,0,-3.12113,0.0717921,-0.0297233,0,0,0,0,0,0.321297,0.0717921,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.0773966,-0.261799,0.000152964,-1.5,0,0,0,3,0.327367,0.0722475,0,0,0,0,0.0337987,-0.023493
520,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06604e-13,0,0,-3.12113,0.0717921,-0.0297233,0,0,0,0,0,0.321297,0.0717921,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.0766595,-0.261799,0.000146618,-1.5,0,0,0,3,0.328077,0.0717541,0,0,0,0,0.0337987,-0.023493
530,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06604e-13,0,0,-3.13123,0.0736949,-0.0309565,0,0,0,0,0,0.309837,0.0736949,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.0876766,-0.261799,0.000138812,-1.5,0,0,0,3,0.326828,0.0722921,0,0,0,0,0.0255334,-0.0156365
540,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06604e-13,0,0,-3.11327,0.0784951,-0.0209027,0,0,0,0,0,0.331709,0.0784951,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.113138,-0.261799,0.00013114,-1.5,0,0,0,3,0.330533,0.0758988,0,0,0,0,0.0340997,-0.000195476
550,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06605e-13,0,0,-3.13141,0.0746034,-0.0222139,0,0,0,0,0,0.309795,0.0746034,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.109657,-0.261799,0.00012342,-1.5,0,0,0,3,0.325734,0.075464,0,0,0,0,0.0218502,-0.00237359
560,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06605e-13,0,0,-3.13141,0.0746034,-0.0222139,0,0,0,0,0,0.309795,0.0746034,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.109597,-0.261799,0.000119273,-1.5,0,0,0,3,0.326106,0.0754237,0,0,0,0,0.0218502,-0.00237359
570,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06605e-13,0,0,-3.12693,0.0720197,-0.029208,0,0,0,0,0,0.314566,0.0720197,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.122502,-0.261799,0.000114325,-1.5,0,0,0,3,0.324822,0.0774983,0,0,0,0,0.0226033,0.005169
580,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06605e-13,0,0,-3.1421,0.0790394,-0.016572,0,0,0,0,0,0.298101,0.0790394,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.125358,-0.261799,0.000106881,-1.5,0,0,0,3,0.326817,0.0780718,0,0,0,0,0.0292132,0.00670697
590,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06606e-13,0,0,-3.12249,0.0810992,-0.0268264,0,0,0,0,0,0.321397,0.0810992,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.134257,-0.261799,0.000101004,-1.5,0,0,0,3,0.322157,0.0803176,0,0,0,0,0.0156994,0.0109717
600,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06606e-13,0,0,-3.09978,0.0758603,-0.0430561,0,0,0,0,0,0.346998,0.0758603,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.129356,-0.261799,9.56492e-05,-1.5,0,0,0,3,0.324892,0.0796437,0,0,0,0,0.0182984,0.00797599
